p,r_max,m,k_err,unif_mean,unif_sigmoid,unif_occ_c0,unif_occ_c1
32,0.5352614285189903,50,2.25910623203147,0.1347511765889195,0.13126395684525308,0.11553486918319096,0.09242003312139485
32,0.5352614285189903,100,1.4634218459665436,0.08331751567446555,0.08111313207379967,0.07094757642146629,0.05711771865087981
32,0.5352614285189903,200,0.9620930081552435,0.06001311738966087,0.0585466739380355,0.051657548164018095,0.04159442514530506
32,0.5352614285189903,400,0.7021124835608804,0.0426140538008582,0.04149762261466929,0.036282024249200164,0.02925911773604083
32,0.5352614285189903,800,0.4680397102645042,0.02504767483616142,0.02440159573341005,0.021394744180985203,0.0173867301659503
32,0.5352614285189903,1600,0.3473127120494514,0.014779856405547595,0.0143458966045638,0.012602451176072192,0.010221716823547002
64,0.7316156289466418,50,4.082459282814871,0.13356594116446383,0.13024912958319337,0.11837672727650651,0.09483724348749446
64,0.7316156289466418,100,2.7975458534005635,0.07377942713751144,0.07235810030037224,0.06704307426074212,0.054162712201996754
64,0.7316156289466418,200,1.9829347744312236,0.060761235215135136,0.059574102742087846,0.055007340784312166,0.045620380707419785
64,0.7316156289466418,400,1.294541695854597,0.03783674490000203,0.037061081488491236,0.03406574487938653,0.028409939445108123
64,0.7316156289466418,800,0.9525198101163634,0.027348840557071524,0.02680900053806949,0.024683341387959343,0.020659210837618278
64,0.7316156289466418,1600,0.6963751449618467,0.02053833940536939,0.020075558277861647,0.01830741090259839,0.014980675075242067
128,0.8553453273074225,50,7.852604084450863,0.11349736449189568,0.11101474674043366,0.1032168742642051,0.08212327643136443
128,0.8553453273074225,100,5.780807411819038,0.07982505733713803,0.07835674219919266,0.07356375519161408,0.06054801484795344
128,0.8553453273074225,200,4.164623163350462,0.06823476251185603,0.06696631364314558,0.06294239469720064,0.05260604134564182
128,0.8553453273074225,400,2.6888295445277905,0.037777591598446895,0.03692153824832562,0.034246937678801444,0.027994719181630382
128,0.8553453273074225,800,1.8739635743002492,0.03005344108273908,0.02944267091803252,0.02749198418634725,0.022678370546747706
128,0.8553453273074225,1600,1.3811316926511363,0.019182458062250465,0.018817510399048623,0.017632177231899932,0.014960160071844397
256,0.9248488132162048,50,15.783516181869992,0.10532895180447484,0.10327439440033413,0.09783985853725659,0.07897518165871359
256,0.9248488132162048,100,11.44934918692379,0.09317543933568502,0.09123614787641389,0.08563709341784269,0.0696485359495033
256,0.9248488132162048,200,7.470880911595049,0.05009503535884958,0.049050540515614416,0.04603819027238907,0.03761621418438461
256,0.9248488132162048,400,5.4517219054687525,0.03694170362944346,0.03619721561037253,0.0340379458886327,0.02818676975589458
256,0.9248488132162048,800,3.8624016169253164,0.025889190325519687,0.02532015614010898,0.023753646696219113,0.020004886791460338
256,0.9248488132162048,1600,2.561748749209201,0.01849609010316027,0.018116061019078193,0.01700919005052037,0.014172654933685929
