cohort,n_records,p,label_model,bin_minutes,prevalence,effective_rank,leading_eigenvalue_share,top5_eigenvalue_share,mean_offdiag_correlation,label_variance
strict,71,64,indicator_linear,22.5,0.45932245171255504,1.3473670254426906,0.742188268761765,0.9303277552034495,0.73616679175452,0.7404252046491839
strict,71,128,indicator_linear,11.25,0.45927600411553166,1.361665441820092,0.7343947854498927,0.9213286423026169,0.7302567018572196,0.7324428746564697
strict,71,256,indicator_linear,5.625,0.45932266996402804,1.3722095018055889,0.7287516947551915,0.9146058648608975,0.7255465481491333,0.7266447004524718
all,84,64,indicator_linear,22.5,0.531093977042755,1.2758574604250015,0.7837866148988848,0.941559170565326,0.7790858914946545,0.7826900952339193
all,84,128,indicator_linear,11.25,0.5310547177643185,1.2872865912298963,0.7768277917387322,0.9338842893357202,0.7737182089520567,0.7756096132339175
all,84,256,indicator_linear,5.625,0.5310941615172142,1.2957459317372544,0.7717562336153837,0.9281213031897594,0.7694400116042384,0.7704384311720902
mixed,33,64,indicator_linear,22.5,0.3465829688459935,2.488465665949698,0.4018540475294683,0.8523671403295168,0.3718928411278007,0.38309021042378055
mixed,33,128,indicator_linear,11.25,0.34650400130217474,2.538190506721023,0.39398145937117096,0.8365131620927518,0.36859335558300527,0.3747256212966036
mixed,33,256,indicator_linear,5.625,0.3465906414355548,2.572505952608003,0.38872601985087807,0.8256188045850323,0.3656521112452016,0.36923556350295417
