config,kernel,alpha,nu2,arm,label,beta,m,n_rep,I_true_ref,bias,bias_se,rmse,sd,coverage,ci_width,uniform_err_mean,uniform_err_sd,uniform_err_median,uniform_err_q90,k_err_mean,r_eff_mean,r_eff_true,kappa,bound_mean,bound_ratio_median,bound_ratio_mean,bound_valid_frac,bound_nonvacuous_frac,small_pert_frac
ou_alpha0_nu0.25,ou,0.0,0.25,known,mean,1.0,25,200,0.26799418107294054,0.00011037724906781621,0.007388818310319984,0.10423216754773051,0.10449367064365178,0.92,0.3616496801653979,0.24594183825165608,0.048614821408023666,0.2378825536554424,0.31678650132891195,10.78615607260634,6.992230211437186,10.182959306742681,12.570019789359696,inf,inf,inf,1.0,0.0,0.0
ou_alpha0_nu0.25,ou,0.0,0.25,known,mean,1.0,50,200,0.26799418107294054,-0.010755703408434077,0.005657872004802036,0.08053556211222469,0.08001439323362093,0.925,0.27646280202803364,0.1948300973081269,0.034139640348053835,0.19080042866453767,0.23472687903659076,7.59534898966464,8.14684366661341,10.182959306742681,12.570019789359696,inf,inf,inf,1.0,0.0,0.0
ou_alpha0_nu0.25,ou,0.0,0.25,known,mean,1.0,100,200,0.26799418107294054,-0.0062011698789558025,0.00428702099461134,0.06079297459827996,0.06062763232757553,0.935,0.21136883501246706,0.14973120330260506,0.030613411293887706,0.14844021649565842,0.1898652627285089,5.60127783283102,8.810587248812016,10.182959306742681,12.570019789359696,inf,inf,inf,1.0,0.0,0.0
ou_alpha0_nu0.25,ou,0.0,0.25,known,mean,1.0,250,200,0.26799418107294054,-0.00389566030755097,0.0028572465996521876,0.0404942457312814,0.04040756892272533,0.91,0.14543190822724103,0.10205463505987317,0.02084306137091373,0.10116768199491877,0.12952014434238723,3.610878072072536,9.452474128193272,10.182959306742681,12.570019789359696,inf,inf,inf,1.0,0.0,0.0
ou_alpha0_nu0.25,ou,0.0,0.25,known,mean,1.0,500,200,0.26799418107294054,-0.0018491987483873825,0.0020919714696805377,0.029568769290799875,0.029584944245197923,0.945,0.10719487509178484,0.07527172227464883,0.015297526726547408,0.07429950062433323,0.096305597450274,2.642240034994832,9.746389508578627,10.182959306742681,12.570019789359696,inf,inf,inf,1.0,0.0,0.0
ou_alpha0_nu0.25,ou,0.0,0.25,known,mean,1.0,1000,200,0.26799418107294054,0.0009194024558292966,0.0014779944605093649,0.020869939106517833,0.020901998111646496,0.915,0.07799653234660237,0.05380347846989471,0.01059708268747712,0.05341214624518198,0.06541161473698924,1.876084479505763,9.8759933981234,10.182959306742681,12.570019789359696,inf,inf,inf,1.0,0.0,0.0
ou_alpha0_nu0.25,ou,0.0,0.25,known,sigmoid,1.0,25,200,0.26258063840905604,0.0003414453373830312,0.007261303263120326,0.1024338570768464,0.10269033555208776,0.92,0.35422510384512307,0.24127677882119997,0.0481314974275355,0.23254631562139322,0.31231691101248166,10.78615607260634,6.992230211437186,10.182959306742681,12.570019789359696,inf,inf,inf,1.0,0.0,0.0
ou_alpha0_nu0.25,ou,0.0,0.25,known,sigmoid,1.0,50,200,0.26258063840905604,-0.010060291843702157,0.005562891953059862,0.07911647793843377,0.07867117246033413,0.93,0.2715448868283929,0.19119467137358534,0.03381915020765927,0.18699566109296656,0.23159226336286723,7.59534898966464,8.14684366661341,10.182959306742681,12.570019789359696,inf,inf,inf,1.0,0.0,0.0
ou_alpha0_nu0.25,ou,0.0,0.25,known,sigmoid,1.0,100,200,0.26258063840905604,-0.005665053122388122,0.004211051115075425,0.059673697506868954,0.05955325598786012,0.935,0.20777135233850294,0.14682940517687576,0.03010113581643019,0.14592626924503238,0.18589008715884764,5.60127783283102,8.810587248812016,10.182959306742681,12.570019789359696,inf,inf,inf,1.0,0.0,0.0
ou_alpha0_nu0.25,ou,0.0,0.25,known,sigmoid,1.0,250,200,0.26258063840905604,-0.0036016693529839134,0.0028066932558924334,0.039756759194254816,0.03969263667904179,0.91,0.14284680108602996,0.10003079555079789,0.020458807369240068,0.09882796086123069,0.1266964386903447,3.610878072072536,9.452474128193272,10.182959306742681,12.570019789359696,inf,inf,inf,1.0,0.0,0.0
