method,n_instances,minimum,mean,median
mutual_information,25,0.6006768643415245,0.8636409105598879,0.8519556240617764
imse,25,0.8015045358554236,0.9472025399995238,0.98731005681642
linear_target,25,0.7669107574967763,0.9824537344731428,0.9999792285426129
kernel_quadrature,25,0.23080682452832452,0.8990314565437653,0.9878596746264614
label_aware_greedy,25,0.9124168180100296,0.9924191697934662,1.0
label_aware,25,0.986904838731539,0.9988065587942282,1.0
