alpha,label,protocol,model,n_train,n_train_used,is_reference,seed_index,seed_key,r2_test,r2_bayes_test,r2_best_linear_test,hyperparameter,ceiling,label_variance,ceiling_best_linear,r2_class_reference,protocol_gap,approximation_gap,estimation_gap,protocol_gap_paired,approximation_gap_paired,approximation_gap_exact_linear,ceiling_utilization,absolute_gap,protocol_share_of_residual
0.0,occupation,same_time,ridge,100,100,0,0,"[20260802, 0, 0]",0.07739425433545599,0.084293463830444,0.08268748785224278,cv-alpha,0.0860502626123045,0.016804686944287432,0.08452056361587312,0.08240858133908235,0.9139497373876955,0.003641681273222147,0.005014327003626362,0.915706536169556,0.0018848824913616502,0.0015296989964313779,0.8994075321321475,0.00865600827684851,0.9906178686643516
0.0,occupation,same_time,gp,100,100,0,0,"[20260802, 0, 0]",0.049663029060525,0.084293463830444,0.08268748785224278,reg=30,0.0860502626123045,0.016804686944287432,0.08452056361587312,0.08148307413042588,0.9139497373876955,0.00456718848187862,0.03182004506990088,0.915706536169556,0.0028103897000181233,nan,0.5771397733471133,0.0363872335517795,0.9617112301589107
0.0,occupation,same_time,mlp,100,100,0,0,"[20260802, 0, 0]",0.07682798996194407,0.084293463830444,0.08268748785224278,weight_decay=1,0.0860502626123045,0.016804686944287432,0.08452056361587312,0.08363052555570949,0.9139497373876955,0.0024197370565950116,0.006802535593765424,0.915706536169556,0.0006629382747345147,nan,0.8928269087113544,0.009222272650360436,0.9900102336833411
0.0,occupation,same_time,ridge,250,250,0,0,"[20260802, 0, 0]",0.07420137443069896,0.084293463830444,0.08268748785224278,cv-alpha,0.0860502626123045,0.016804686944287432,0.08452056361587312,0.08240858133908235,0.9139497373876955,0.003641681273222147,0.008207206908383391,0.915706536169556,0.0018848824913616502,0.0015296989964313779,0.8623027074886435,0.011848888181605538,0.9872014411618732
0.0,occupation,same_time,gp,250,250,0,0,"[20260802, 0, 0]",0.04389857180220025,0.084293463830444,0.08268748785224278,reg=0.1,0.0860502626123045,0.016804686944287432,0.08452056361587312,0.08148307413042588,0.9139497373876955,0.00456718848187862,0.03758450232822563,0.915706536169556,0.0028103897000181233,nan,0.510150352474614,0.04215169081010425,0.9559129506902233
0.0,occupation,same_time,mlp,250,250,0,0,"[20260802, 0, 0]",0.049496827435072666,0.084293463830444,0.08268748785224278,weight_decay=0.001,0.0860502626123045,0.016804686944287432,0.08452056361587312,0.08363052555570949,0.9139497373876955,0.0024197370565950116,0.034133698120636824,0.915706536169556,0.0006629382747345147,nan,0.575208325139905,0.036553435177231836,0.9615430687321194
0.0,occupation,same_time,ridge,500,500,0,0,"[20260802, 0, 0]",0.07232271732869999,0.084293463830444,0.08268748785224278,cv-alpha,0.0860502626123045,0.016804686944287432,0.08452056361587312,0.08240858133908235,0.9139497373876955,0.003641681273222147,0.010085864010382362,0.915706536169556,0.0018848824913616502,0.0015296989964313779,0.8404706172083015,0.013727545283604509,0.9852022405420177
0.0,occupation,same_time,gp,500,500,0,0,"[20260802, 0, 0]",0.06678100458443526,0.084293463830444,0.08268748785224278,reg=10,0.0860502626123045,0.016804686944287432,0.08452056361587312,0.08148307413042588,0.9139497373876955,0.00456718848187862,0.014702069545990626,0.915706536169556,0.0028103897000181233,nan,0.776069735955531,0.019269258027869246,0.9793518368973098
0.0,occupation,same_time,mlp,500,500,0,0,"[20260802, 0, 0]",0.0687662365160231,0.084293463830444,0.08268748785224278,weight_decay=1,0.0860502626123045,0.016804686944287432,0.08452056361587312,0.08363052555570949,0.9139497373876955,0.0024197370565950116,0.014864289039686396,0.915706536169556,0.0006629382747345147,nan,0.7991403445896058,0.017284026096281407,0.9814396483739833
0.0,occupation,same_time,ridge,1000,1000,0,0,"[20260802, 0, 0]",0.07553848013451459,0.084293463830444,0.08268748785224278,cv-alpha,0.0860502626123045,0.016804686944287432,0.08452056361587312,0.08240858133908235,0.9139497373876955,0.003641681273222147,0.006870101204567769,0.915706536169556,0.0018848824913616502,0.0015296989964313779,0.8778413666771678,0.010511782477789916,0.9886292914827656
