family,label,minimal_violation_found,minimal_size_S,minimal_size_T,minimal_gain_S,minimal_gain_T,minimal_a_time,minimal_a_width,minimal_b_time,minimal_b_width,minimal_relative_violation,random_search_action_time,random_search_action_width,random_search_size_S,random_search_size_T,random_search_gain_S,random_search_gain_T,random_search_relative_violation,gamma,gamma_median,gamma_n_samples,greedy_factor_1_minus_exp_minus_gamma,analytic_transfer_bound
ii_nonstationary,mean,False,,,,,,,,,,0.5,0.0,2,3,0.0038504630018650066,0.003948936945817133,0.025574572175977216,0.997861889875932,1.0,128,0.631333150588158,0.997861889875932
ii_nonstationary,occupation_c0,False,,,,,,,,,,0.5,0.0,2,4,0.000660738578929513,0.0006810677021588177,0.030767271471026685,0.9992454028177921,1.0,128,0.6318428532741205,0.14096091076445486
ii_nonstationary,occupation_c1.5,False,,,,,,,,,,0.5,0.0,2,3,0.0001231730397750141,0.00012492649638926653,0.014235717633138512,0.9990386184238431,1.0,128,0.6317667162499541,0.04601322833684404
ii_nonstationary,two_sided_c1.2,True,0,1,0.0029287748090595176,0.0031811340962739033,3.772727272727273,0.0,9.5,0.0,0.08616547999312478,2.9545454545454546,0.0,0,2,0.002072513611460277,0.0022548297076821445,0.0879685881017731,0.9645124700783185,1.0,128,0.6188310142666962,0.0
ii_nonstationary,sigmoid,False,,,,,,,,,,1.3181818181818183,0.0,2,4,0.0013307419028361772,0.0013567513538522286,0.01954507554065747,0.9979150386365413,1.0,128,0.6313527442535878,0.7933966645328575
iii_heterogeneous,mean,False,,,,,,,,,,0.5,0.0,1,3,0.004087984668431143,0.004149873731404827,0.01513926004948439,1.0,1.0,128,0.6321205588285577,1.0
iii_heterogeneous,occupation_c0,False,,,,,,,,,,5.9,0.0,2,4,0.0008236760204730141,0.0008322157375489359,0.010367810721280487,1.0,1.0,128,0.6321205588285577,0.14106735979665894
iii_heterogeneous,occupation_c1.5,False,,,,,,,,,,0.5,0.0,1,3,8.858223766312879e-05,8.991836717232025e-05,0.015083492407051778,1.0,1.0,128,0.6321205588285577,0.04605750717568646
iii_heterogeneous,two_sided_c1.2,True,0,1,2.041433078316807e-05,4.757522699030047e-05,7.7,3.5,7.7,1.5,1.3304818313969409,9.5,3.5,1,3,2.2373206498716087e-05,5.043652752213671e-05,1.2543271803722487,0.6885894026430484,0.9942843456776135,96,0.4977159098076458,0.0
iii_heterogeneous,sigmoid,False,,,,,,,,,,0.5,1.5,1,2,0.0004607983254589208,0.0004673301096384541,0.014174930373343145,1.0,1.0,128,0.6321205588285577,0.7950543220762373
