p,d_obs,n_directions,eps,ceiling_gap,observed_discrepancy,I_plus,I_minus
8,1,26,0.41648947952318155,0.09171938012661848,0.0,0.0005458049453456625,0.09226518507196414
8,1,26,0.34633413822367104,0.05183176199172895,1.3877787807814457e-17,0.06371416989954333,0.011882407907814373
8,1,26,0.18627536937827543,0.021319573211754907,5.551115123125783e-17,0.021400575785995565,8.100257424065952e-05
8,1,26,0.29891621722424166,0.08005357981793348,2.7755575615628914e-17,0.0590472208815526,0.13910080069948608
8,1,26,0.20380757751645281,0.02554004921711237,2.7755575615628914e-17,0.0008717827663388237,0.026411831983451192
8,1,26,0.23830808581647345,0.0323749484152432,4.85722573273506e-17,0.0324213736956619,4.6425280418698004e-05
8,1,26,0.14229992969688088,0.045192703258854494,0.0,0.5088443157320834,0.46365161247322895
8,1,26,0.3497958091056024,0.013536394234930594,2.7755575615628914e-17,0.015295711298467641,0.028832105533398236
8,1,26,0.1946990874728504,0.02561711544428581,2.7755575615628914e-17,0.0055278832602565844,0.031144998704542393
8,1,26,0.16594104544486296,0.10870124657773514,0.0,0.2599761028436545,0.15127485626591938
8,1,26,0.3931890465053248,0.5121872231418287,4.163336342344337e-17,0.5250934386579825,0.012906215516153821
8,1,26,0.6028061107279792,0.13110461084115155,1.3877787807814457e-16,0.1342125927531473,0.003107981911995749
8,1,26,0.3758882788248336,0.30028338985725556,2.7755575615628914e-17,0.6306696183546442,0.33038622849738863
8,1,26,0.5002465558535236,0.1388912478120137,2.7755575615628914e-17,0.15177777098211825,0.012886523170104552
8,1,26,0.2829800491203378,0.1393414955880444,2.7755575615628914e-17,0.003203592323577971,0.14254508791162238
8,1,26,0.36679253726539773,0.020821746636231285,1.3877787807814457e-17,0.042127807629385346,0.02130606099315406
8,1,26,0.4445992041714098,0.218309736554202,1.3877787807814457e-17,0.21905705070099712,0.0007473141467951327
8,1,26,0.22376277434452435,0.05280974367132768,5.551115123125783e-17,0.24173898168850158,0.1889292380171739
8,1,26,0.33679716271169213,0.30288556014687606,2.7755575615628914e-17,0.41984580655653453,0.11696024640965845
8,1,26,0.24825148713465062,0.04189959924241388,2.7755575615628914e-17,0.0003043662568506979,0.042203965499264584
8,1,26,0.2694249681882684,0.20874126947113505,0.0,0.3516343223319545,0.14289305286081946
8,1,26,0.22867461414784482,0.07818233667896268,2.7755575615628914e-17,0.04716931230939345,0.12535164898835613
8,1,26,0.47085823731562365,0.06486033805757399,0.0,0.08687952326265126,0.022019185205077278
8,1,26,0.5953044086531976,0.09590314847333255,0.0,0.008011671305756932,0.10391481977908948
8,1,26,0.3403585148211689,0.25675662014547673,2.7755575615628914e-17,0.4850435068090238,0.2282868866635471
8,1,26,0.19869212455109053,0.10861231679112568,1.3877787807814457e-17,0.16186633396104874,0.2704786507521744
8,1,26,0.42992393069156526,0.21514409236372686,1.3877787807814457e-17,0.2702662548008014,0.05512216243707454
8,1,26,0.2553397956388083,0.3306456252958712,2.7755575615628914e-17,0.2982830511133652,0.6289286764092364
8,1,26,0.3229987887009455,0.09515026578089779,1.3877787807814457e-17,0.005380367713146513,0.1005306334940443
8,1,26,0.28029643338984683,0.023231472451858772,0.0,0.0025662921391539405,0.025797764591012712
8,1,26,0.06701062589384692,0.07860325806430057,1.3877787807814457e-17,0.8420566671101406,0.76345340904584
