kernel,label,m,rep,k_error_op,eps_m,I_star,I_true_at_Shat,regret_exhaustive,bound_2eps,slack_exhaustive,bound_holds_exhaustive,eta_hat,n_greedy_actions,greedy_is_optimal,I_true_at_Sgreedy,regret_greedy,eta_bound_rhs,slack_eta,bound_holds_eta,Ihat_at_Shat,Ihat_at_Sgreedy,ceiling_from_designresult
trait_ou,mean,25,0,10.216939934099887,0.1708025311795749,0.6907252995047104,0.6728679231203598,0.017857376384350587,0.3416050623591498,0.3237476859747992,1,0.9953914048809805,4,0,0.5853788575600307,0.10534644194467968,0.3467241236131903,0.2386547339468404,1,0.759682457605732,0.7561813887396056,0.7561813887396056
trait_ou,mean,25,1,17.336212546584562,0.2839690323508117,0.6907252995047104,0.6840120137407123,0.0067132857639981,0.5679380647016234,0.5612247789376253,1,0.9710736533522171,4,0,0.6606623321591611,0.030062967345549252,0.11102126201823503,0.5496410701409261,1,0.6908608306564058,0.6708767507834633,0.6708767507834633
trait_ou,mean,25,2,16.913864742145808,0.26394167602049723,0.6907252995047104,0.6601458474504873,0.030579452054223077,0.5278833520409945,0.4973038999867714,1,1.0,4,1,0.6601458474504873,0.030579452054223077,0.16284194746371594,0.4973038999867714,1,0.7452402513530016,0.7452402513530016,0.7452402513530016
trait_ou,mean,25,3,13.857793217299658,0.19618213738447032,0.6907252995047104,0.6813681950760045,0.009357104428705854,0.39236427476894065,0.3830071703402348,1,1.0,4,1,0.6813681950760045,0.009357104428705854,0.29836102473576975,0.3830071703402348,1,0.763713704623624,0.763713704623624,0.7637137046236241
trait_ou,mean,25,4,10.273088794679968,0.21258258008688768,0.6907252995047104,0.6104052006424568,0.08032009886225355,0.42516516017377537,0.3448450613115218,1,1.0,4,1,0.6104052006424568,0.08032009886225355,0.26556013933093503,0.3448450613115218,1,0.7256155327728245,0.7256155327728245,0.7256155327728245
trait_ou,mean,25,5,11.852972213128753,0.24203644498298788,0.6907252995047104,0.662905235525513,0.02782006397919745,0.48407288996597575,0.4562528259867783,1,1.0,4,1,0.662905235525513,0.02782006397919745,0.20665240953873465,0.4562528259867783,1,0.7266132044197329,0.7266132044197329,0.7266132044197329
trait_ou,mean,25,6,18.52820257981113,0.2617785305289376,0.6907252995047104,0.6842953625099729,0.006429936994737484,0.5235570610578753,0.5171271240631378,1,1.0,4,1,0.6842953625099729,0.006429936994737484,0.16716823844683515,0.5171271240631378,1,0.8098252357263606,0.8098252357263606,0.8098252357263606
trait_ou,mean,25,7,20.325023674929703,0.27104367954878117,0.6907252995047104,0.6173003097425601,0.07342498976215028,0.5420873590975623,0.46866236933541205,1,1.0,4,1,0.6173003097425601,0.07342498976215028,0.14863794040714806,0.46866236933541205,1,0.6952474163612602,0.6952474163612602,0.6952474163612602
trait_ou,mean,25,8,11.87242105550605,0.12322130341939752,0.6907252995047104,0.6813681950760045,0.009357104428705854,0.24644260683879504,0.2370855024100892,1,1.0,4,1,0.6813681950760045,0.009357104428705854,0.44428269266591536,0.2370855024100892,1,0.7374681719203022,0.7374681719203022,0.7374681719203023
trait_ou,mean,25,9,14.32850018156889,0.298933455672251,0.6907252995047104,0.6775413977616256,0.013183901743084814,0.597866911344502,0.5846830096014172,1,1.0,4,1,0.6775413977616256,0.013183901743084814,0.09285838816020842,0.5846830096014172,1,0.7040358233729581,0.7040358233729581,0.704035823372958
trait_ou,mean,25,10,8.928252986111177,0.14942726944071266,0.6907252995047104,0.6695730309053692,0.021152268599341162,0.2988545388814253,0.27770227028208416,1,1.0,4,1,0.6695730309053692,0.021152268599341162,0.3918707606232851,0.27770227028208416,1,0.7464383930694692,0.7464383930694692,0.7464383930694691
trait_ou,mean,25,11,13.245835614156407,0.2111803618881618,0.6907252995047104,0.6606623321591611,0.030062967345549252,0.4223607237763236,0.39229775643077436,1,0.9923626394230808,4,0,0.6417635916971364,0.04896170780757403,0.26470211812697303,0.37706147357016334,1,0.7093566951226803,0.7039390822643766,0.7039390822643766
trait_ou,mean,25,12,12.434486649901677,0.25259032251952146,0.6907252995047104,0.6439116544774218,0.046813645027288575,0.5051806450390429,0.45836700001175434,1,0.9872079186121879,4,0,0.6372927662600496,0.053432533244660796,0.1799399961812258,0.4573527700788238,1,0.7032605551998161,0.6942643889408622,0.6942643889408622
trait_ou,mean,25,13,13.266320553016104,0.21251386348646045,0.6907252995047104,0.6607112995817767,0.030013999922933743,0.4250277269729209,0.39501372704998716,1,1.0,4,1,0.6607112995817767,0.030013999922933743,0.2656975725317895,0.39501372704998716,1,0.7305136516500472,0.7305136516500472,0.7305136516500472
trait_ou,mean,25,14,10.54421785219967,0.2072363736449856,0.6907252995047104,0.6775413977616256,0.013183901743084814,0.4144727472899712,0.4012888455468864,1,1.0,4,1,0.6775413977616256,0.013183901743084814,0.2762525522147392,0.4012888455468864,1,0.7805980319317982,0.7805980319317982,0.7805980319317982
