label,m,rep,selected_level,adaptive_regret,theorem_bound,bound_satisfied,selected_level_oracle,adaptive_regret_oracle,theorem_bound_oracle,bound_satisfied_oracle,eps_boot_valid,eps_boot_L1,eps_boot_L2,eps_boot_L3,eps_boot_L4,eps_true_L1,eps_true_L2,eps_true_L3,eps_true_L4,regret_fixed_L1,regret_fixed_L2,regret_fixed_L3,regret_fixed_L4
mean,25,0,1,0.037357067230144314,0.34579791078509825,True,1,0.037357067230144314,0.2588358045714084,True,False,0.15422042177747697,0.18703764558282127,0.21173265854858775,0.3104222335692231,0.11073936867063205,0.26394867704718794,0.36668476181169424,0.36668476181169424,0.037357067230144314,0.037357067230144314,0.037357067230144314,0.033020027839534616
mean,25,1,2,0.06962668007635997,0.2987511217840191,True,1,0.037357067230144314,0.19642104369019886,True,False,0.13069702727693738,0.13317632727296796,0.28495321728270334,0.2886647290710876,0.07953198823002727,0.2707392615102929,0.2707392615102929,0.2707392615102929,0.037357067230144314,0.06962668007635997,0.0224083204338823,0.011423550769082746
mean,25,2,1,0.12733713397915836,0.28367571726173063,True,1,0.12733713397915836,0.3836126279413079,True,False,0.12315932501579316,0.20981042901771327,0.2290365190248289,0.32813660549575774,0.18372387957194247,0.18372387957194247,0.18372387957194247,0.27924566185456445,0.12733713397915836,0.12733713397915836,0.12733713397915836,0.015346849705819898
mean,25,3,3,0.05571915983321396,0.3289913815499393,True,3,0.05571915983321396,0.26935389076719274,True,False,0.1458171571598975,0.202583782889705,0.2293066868461636,0.279267751359653,0.11599841176852421,0.11599841176852421,0.20443020050689942,0.2824448015049476,0.037357067230144314,0.037357067230144314,0.05571915983321396,0.05571915983321396
mean,25,4,1,0.12733713397915836,0.2228913035029973,True,3,0.02849871235763901,0.31505251337505513,True,False,0.09276711813642649,0.16296023112089583,0.22647433912565845,0.24313927941821664,0.1388477230724554,0.1388477230724554,0.15899192885755564,0.19195704720458945,0.12733713397915836,0.09771083735385,0.02849871235763901,0.02849871235763901
mean,25,5,1,0.037357067230144314,0.40769970509423886,True,1,0.037357067230144314,0.18567198150535547,True,True,0.18517131893204727,0.2468480631574362,0.2999637153734206,0.31393501512760275,0.07415745713760558,0.12413247854633169,0.20367733792402276,0.23084053162703178,0.037357067230144314,0.037357067230144314,0.037357067230144314,0.05821302572975284
mean,25,6,2,0.06962668007635997,0.2943304611014367,True,1,0.037357067230144314,0.11986978287624706,True,True,0.12848669693564618,0.16059909029315525,0.26223018897375616,0.2933318488205268,0.04125635782305137,0.1563123657079507,0.1563123657079507,0.1889664080917063,0.037357067230144314,0.06962668007635997,0.06962668007635997,0.026315390420256213
mean,25,7,3,0.036838313441200365,0.5403004107527475,True,1,0.037357067230144314,0.1809472786436216,True,True,0.2514716717613016,0.2514716717613016,0.2668826615544087,0.31094057935228964,0.07179510570673864,0.1706558681459392,0.1706558681459392,0.2099361346426018,0.037357067230144314,0.037357067230144314,0.036838313441200365,0.039603092429607134
mean,25,8,3,0.020908694686833207,0.3629245221510693,True,3,0.020908694686833207,0.35063401229843916,True,False,0.1627837274604625,0.1786368661576556,0.25495780080821856,0.3332979445104816,0.15663847253414742,0.21726255568405922,0.26165282736549045,0.2874370833056515,0.037357067230144314,0.25991416589772814,0.020908694686833207,0.020908694686833207
mean,25,9,3,0.06919396803849776,0.37849425739094517,True,1,0.037357067230144314,0.18048485679310733,True,True,0.17056859508040043,0.19023098230136937,0.25199379090029467,0.2898407764439418,0.07156389478148151,0.07156389478148151,0.18792918892041854,0.24926755082501195,0.037357067230144314,0.037357067230144314,0.06919396803849776,0.03507584898633409
mean,25,10,3,0.08287050801932871,0.2974084622734548,True,1,0.037357067230144314,0.1804354206238471,True,True,0.13002569752165524,0.16284451585290227,0.2000633485784562,0.2916116168143071,0.07153917669685139,0.11148004449536408,0.19029734694147116,0.19029734694147116,0.037357067230144314,0.06962668007635997,0.08287050801932871,0.039274645863001445
mean,25,11,1,0.037357067230144314,0.23269630317708068,True,1,0.037357067230144314,0.14095388665567443,True,True,0.09766961797346818,0.13128156028750548,0.19032363300492777,0.23214497913302332,0.05179840971276506,0.10575424668862282,0.18191481486039396,0.18191481486039396,0.037357067230144314,0.06962668007635997,0.03411875546067489,0.03411875546067489
mean,25,12,1,0.037357067230144314,0.23730679000551796,True,1,0.037357067230144314,0.09741162350384103,True,True,0.09997486138768683,0.1569987108520405,0.2576941728810383,0.2729993149721048,0.030027278136848357,0.07287661156833258,0.17093079632301278,0.19291694335860454,0.037357067230144314,0.06962668007635997,0.06962668007635997,0.05638427102925392
mean,25,13,1,0.037357067230144314,0.270103321384201,True,1,0.037357067230144314,0.17879515369780652,True,False,0.11637312707702836,0.2283162841685266,0.26389492639113854,0.310751742010626,0.0707190432338311,0.14787532853112562,0.2787013933345815,0.29098087668489747,0.037357067230144314,0.037357067230144314,0.020908694686833207,0.020908694686833207
mean,25,14,2,0.09771083735385,0.31600526663026507,True,1,0.12733713397915836,0.22309401680487773,True,False,0.13932409970006038,0.16401448983800357,0.21867761094803542,0.2799634989448648,0.0928684747873667,0.215622117563726,0.230787417108743,0.230787417108743,0.12733713397915836,0.09771083735385,0.08074663517954028,0.08074663517954028
mean,25,15,3,0.030528017631167303,0.3964632830624885,True,1,0.037357067230144314,0.1635670372976391,True,True,0.1795531079161721,0.1856946507900797,0.23451981053831522,0.2798442887452003,0.0631049850337474,0.17200562208632703,0.18943034788011698,0.24319920195642897,0.037357067230144314,0.037357067230144314,0.030528017631167303,0.07888106145914686
mean,25,16,3,0.05887933064952078,0.48104867107702365,True,4,0.08778873316057079,0.2907132973351432,True,True,0.22184580192343967,0.22184580192343967,0.2678578577689096,0.3122526405593964,0.12667811505249943,0.12667811505249943,0.22606309672436292,0.22606309672436292,0.037357067230144314,0.06962668007635997,0.05887933064952078,0.08778873316057079
mean,25,17,1,0.037357067230144314,0.37071443606390997,True,3,0.0223642176848442,0.1687304167080298,True,True,0.16667868441688283,0.19540641734467523,0.24956824080564277,0.3013827203789981,0.06568667473894274,0.08315284046943577,0.10746154728683777,0.20122526762478915,0.037357067230144314,0.037357067230144314,0.0223642176848442,0.07421917836601688
mean,25,18,3,0.02849871235763901,0.38282649565059207,True,3,0.02849871235763901,0.28028169150832205,True,True,0.17273471421022388,0.2011791003644701,0.23552346722604367,0.3322137146848601,0.12146231213908887,0.12146231213908887,0.15041045500030364,0.2273330119432843,0.037357067230144314,0.06962668007635997,0.02849871235763901,0.009469938609891093
mean,25,19,1,0.037357067230144314,0.34291738869363325,True,1,0.037357067230144314,0.10766903355455149,True,False,0.15278016073174447,0.20569213976782844,0.24172260644899865,0.2763551423559606,0.035155983162203586,0.21687576763095434,0.21687576763095434,0.2555440640968276,0.037357067230144314,0.037357067230144314,0.05887933064952078,0.05887933064952078
mean,25,20,3,0.03411875546067489,0.4092389145907265,True,1,0.037357067230144314,0.1064523529844067,True,True,0.18594092368029108,0.18594092368029108,0.2196398855299888,0.30592494159994316,0.03454764287713119,0.09520894408561603,0.12830480197615196,0.19480528856078716,0.037357067230144314,0.09771083735385,0.03411875546067489,0.06551653003819946
mean,25,21,3,0.030528017631167303,0.3306317989847822,True,1,0.037357067230144314,0.0900206409198615,True,False,0.14663736587731893,0.1800264555031175,0.19091103803228884,0.2835343006741031,0.026331786844858596,0.22277510321933175,0.22277510321933175,0.22277510321933175,0.037357067230144314,0.06962668007635997,0.030528017631167303,0.030528017631167303
mean,25,22,2,0.06962668007635997,0.31556941049873577,True,2,0.06962668007635997,0.14150520811512612,True,True,0.13910617163429573,0.1844835713608531,0.2695480033089042,0.30435972583044213,0.052074070442490905,0.09293459379664559,0.18465084697608142,0.19502150733980816,0.037357067230144314,0.06962668007635997,0.10468998779005212,0.1004254583932892
mean,25,23,1,0.037357067230144314,0.24800689127608672,True,2,0.09771083735385,0.4167992285553864,True,False,0.1053249120229712,0.1301454751573309,0.1893742090936104,0.25985198481233085,0.18972108066262106,0.19408730695651877,0.2109648818437656,0.23914164915192038,0.037357067230144314,0.09771083735385,0.09771083735385,0.042448747099824824
mean,25,24,1,0.037357067230144314,0.25901536804785097,True,1,0.037357067230144314,0.3200957791725151,True,False,0.11082915040885334,0.1465338717973305,0.21282439261187752,0.23994003041397466,0.14211183249412795,0.15196545518754606,0.15196545518754606,0.2804043638895573,0.037357067230144314,0.037357067230144314,0.037357067230144314,0.044672613681255524
mean,25,25,1,0.12733713397915836,0.2574361867619165,True,3,0.017039379067798843,0.4013703140771181,True,False,0.11003955976588609,0.17566199541976615,0.19937935421351313,0.22889613814296852,0.19260272263984757,0.19260272263984757,0.19260272263984757,0.2233695086096154,0.12733713397915836,0.12733713397915836,0.017039379067798843,0.06330802270154012
mean,25,26,1,0.037357067230144314,0.40109303236715116,True,1,0.037357067230144314,0.2986247513957997,True,True,0.18186798256850342,0.21014357134731906,0.23521541771335894,0.29075587289152643,0.1306338420828277,0.1306338420828277,0.1754459391135762,0.25331597876498907,0.037357067230144314,0.037357067230144314,0.037357067230144314,0.02681974156241751
mean,25,27,1,0.12733713397915836,0.323660848462889,True,3,0.09802124703372717,0.17061139903222122,True,True,0.14315189061637235,0.2909899054703856,0.34978351409335917,0.37790853628229376,0.06662716590103845,0.12031741413131347,0.17555112180565197,0.26625345092601466,0.12733713397915836,0.09771083735385,0.09802124703372717,0.09802124703372717
