alpha,label,protocol,model,n_train,n_seeds,is_reference,ceiling,label_variance,ceiling_best_linear,ceiling_state_channel,approximation_gap_exact_linear,r2_test_mean,r2_test_sd,r2_class_reference_mean,r2_class_reference_sd,r2_bayes_test_mean,r2_bayes_test_sd,r2_best_linear_test_mean,r2_best_linear_test_sd,protocol_gap_mean,protocol_gap_sd,approximation_gap_mean,approximation_gap_sd,estimation_gap_mean,estimation_gap_sd,protocol_gap_paired_mean,protocol_gap_paired_sd,approximation_gap_paired_mean,approximation_gap_paired_sd,ceiling_utilization_mean,ceiling_utilization_sd,absolute_gap_mean,absolute_gap_sd,protocol_share_of_residual_mean,protocol_share_of_residual_sd
0.0,mean,dispersed,gp,100,10,0,0.36242539370674215,0.09521352791540096,0.3624253937235382,0.36242539370674215,nan,0.2769831028183532,0.08259050855997166,0.3511031193572002,0.006979358550377921,0.36666221466775684,0.004965976000313716,0.3666622146679766,0.004965976000507382,0.6375746062932579,0.0,0.01132227434954195,0.006979358550377921,0.07412001653884699,0.08132053005768246,0.6333377853322433,0.004965976000313716,0.01555909531055658,0.003705035787074325,0.7642486084804396,0.22788278634471204,0.08544229088838892,0.08259050855997167,0.8902957975495877,0.08273609756962771
0.0,mean,dispersed,gp,250,10,0,0.36242539370674215,0.09521352791540096,0.3624253937235382,0.36242539370674215,nan,0.31908580212691967,0.025451224580515644,0.3511031193572002,0.006979358550377921,0.36666221466775684,0.004965976000313716,0.3666622146679766,0.004965976000507382,0.6375746062932579,0.0,0.01132227434954195,0.006979358550377921,0.03201731723028055,0.025143452864618863,0.6333377853322433,0.004965976000313716,0.01555909531055658,0.003705035787074325,0.8804178947381075,0.07022472768867181,0.0433395915798225,0.02545122458051564,0.9374498608465978,0.03268828526346153
0.0,mean,dispersed,gp,500,10,0,0.36242539370674215,0.09521352791540096,0.3624253937235382,0.36242539370674215,nan,0.337062369666727,0.005228096258236724,0.3511031193572002,0.006979358550377921,0.36666221466775684,0.004965976000313716,0.3666622146679766,0.004965976000507382,0.6375746062932579,0.0,0.01132227434954195,0.006979358550377921,0.014040749690473264,0.00701502748729769,0.6333377853322433,0.004965976000313716,0.01555909531055658,0.003705035787074325,0.9300186342336216,0.014425303383865704,0.025363024040015215,0.005228096258236724,0.9617955171085162,0.0076161164037346785
0.0,mean,dispersed,gp,1000,10,0,0.36242539370674215,0.09521352791540096,0.3624253937235382,0.36242539370674215,nan,0.3455163528695402,0.00901880502769919,0.3511031193572002,0.006979358550377921,0.36666221466775684,0.004965976000313716,0.3666622146679766,0.004965976000507382,0.6375746062932579,0.0,0.01132227434954195,0.006979358550377921,0.005586766487660033,0.008464455553518439,0.6333377853322433,0.004965976000313716,0.01555909531055658,0.003705035787074325,0.9533447679693106,0.024884583653089126,0.01690904083720198,0.00901880502769919,0.9743318503291407,0.013510377212388394
0.0,mean,dispersed,gp,2500,10,0,0.36242539370674215,0.09521352791540096,0.3624253937235382,0.36242539370674215,nan,0.34901210766945695,0.007331804582524746,0.3511031193572002,0.006979358550377921,0.36666221466775684,0.004965976000313716,0.3666622146679766,0.004965976000507382,0.6375746062932579,0.0,0.01132227434954195,0.006979358550377921,0.0020910116877432714,0.0048020156933565265,0.6333377853322433,0.004965976000313716,0.01555909531055658,0.003705035787074325,0.9629902146201748,0.02022983132483621,0.013413286037285222,0.007331804582524745,0.9795071467797308,0.011016049283090681
0.0,mean,dispersed,gp,5000,10,0,0.36242539370674215,0.09521352791540096,0.3624253937235382,0.36242539370674215,nan,0.3506841741370968,0.0052749220960016385,0.3511031193572002,0.006979358550377921,0.36666221466775684,0.004965976000313716,0.3666622146679766,0.004965976000507382,0.6375746062932579,0.0,0.01132227434954195,0.006979358550377921,0.00041894522010341715,0.005680137511914847,0.6333377853322433,0.004965976000313716,0.01555909531055658,0.003705035787074325,0.9676037612884659,0.014554504699717224,0.011741219569645366,0.0052749220960016385,0.9819759738252376,0.00799085225787627
0.0,mean,dispersed,gp,20000,10,1,0.36242539370674215,0.09521352791540096,0.3624253937235382,0.36242539370674215,nan,0.3511031193572002,0.006979358550377921,0.3511031193572002,0.006979358550377921,0.36666221466775684,0.004965976000313716,0.3666622146679766,0.004965976000507382,0.6375746062932579,0.0,0.01132227434954195,0.006979358550377921,0.0,0.0,0.6333377853322433,0.004965976000313716,0.01555909531055658,0.003705035787074325,0.9687597101468464,0.01925736626508376,0.01132227434954195,0.006979358550377921,0.9826538369723006,0.010571882126716965
0.0,mean,dispersed,mlp,100,10,0,0.36242539370674215,0.09521352791540096,0.3624253937235382,0.36242539370674215,nan,0.21075864025848592,0.10496774133600967,0.36586278842206255,0.004864256087930328,0.36666221466775684,0.004965976000313716,0.3666622146679766,0.004965976000507382,0.6375746062932579,0.0,-0.0034373947153203853,0.004864256087930329,0.15510414816357665,0.10344792866292003,0.6333377853322433,0.004965976000313716,0.0007994262456942458,0.0003535851532720834,0.5815228290240115,0.28962579101436997,0.15166675344825625,0.10496774133600967,0.8213322191768718,0.113161139521798
0.0,mean,dispersed,mlp,250,10,0,0.36242539370674215,0.09521352791540096,0.3624253937235382,0.36242539370674215,nan,0.34841643273292344,0.009260853694124523,0.36586278842206255,0.004864256087930328,0.36666221466775684,0.004965976000313716,0.3666622146679766,0.004965976000507382,0.6375746062932579,0.0,-0.0034373947153203853,0.004864256087930329,0.01744635568913907,0.005822972647303801,0.6333377853322433,0.004965976000313716,0.0007994262456942458,0.0003535851532720834,0.9613466351500908,0.025552441564340195,0.014008960973818685,0.009260853694124525,0.9786787234675375,0.013963043169728784
0.0,mean,dispersed,mlp,500,10,0,0.36242539370674215,0.09521352791540096,0.3624253937235382,0.36242539370674215,nan,0.3532023021411221,0.006652071110803532,0.36586278842206255,0.004864256087930328,0.36666221466775684,0.004965976000313716,0.3666622146679766,0.004965976000507382,0.6375746062932579,0.0,-0.0034373947153203853,0.004864256087930329,0.012660486280940441,0.0029406771422278628,0.6333377853322433,0.004965976000313716,0.0007994262456942458,0.0003535851532720834,0.9745517512686129,0.018354318506131163,0.009223091565620057,0.006652071110803532,0.9858339569719268,0.010110636252931024
