family,family_title,label,method,objective_F,ceiling_I,relative_efficiency,cost,n_actions,times,widths,segments,runtime_s,n_evaluations,n_candidates,budget
i_stationary_ou,"(i) stationary OU, uniform weights",two_sided_c1.2,kernel_quadrature,0.00239753051643164,0.1997420403637217,0.9906892728735384,4.0,4,2.136;4.591;6.227;7.864,0;0;0;0,1;1;1;1,0.0005939170005149208,42,12,4.0
i_stationary_ou,"(i) stationary OU, uniform weights",two_sided_c1.2,label_aware_greedy,0.0024200630632423177,0.20161926229842078,1.0,4.0,4,2.955;4.591;6.227;7.864,0;0;0;0,1;1;1;1,0.042433540998899844,42,12,4.0
i_stationary_ou,"(i) stationary OU, uniform weights",two_sided_c1.2,label_aware,0.0024200630632423177,0.20161926229842078,1.0,4.0,4,2.955;4.591;6.227;7.864,0;0;0;0,1;1;1;1,0.07805954200011911,74,12,4.0
i_stationary_ou,"(i) stationary OU, uniform weights",two_sided_c1.2,exhaustive,0.0024200630632423177,0.20161926229842078,1.0,4.0,4,2.136;3.773;5.409;7.045,0;0;0;0,1;1;1;1,0.5343309590025456,495,12,4.0
i_stationary_ou,"(i) stationary OU, uniform weights",sigmoid,same_time,0.00331350778896595,0.19577442037853224,0.39972325739772846,4.0,1,5.000,0,4,0.0,1,12,4.0
i_stationary_ou,"(i) stationary OU, uniform weights",sigmoid,uniform,0.006230179503607141,0.3681022827936481,0.751574405120555,4.0,4,0.039;3.346;6.654;9.961,0;0;0;0,1;1;1;1,0.0,1,12,4.0
i_stationary_ou,"(i) stationary OU, uniform weights",sigmoid,dispersed,0.008217127174170384,0.48549857497148763,0.9912687851371549,4.0,4,1.250;3.750;6.250;8.750,0;0;0;0,1;1;1;1,0.0,1,12,4.0
i_stationary_ou,"(i) stationary OU, uniform weights",sigmoid,random,0.00808657272354426,0.4777849302399798,0.9755194181231932,4.0,4,1.318;3.773;5.409;7.045,0;0;0;0,1;1;1;1,0.010407499998109415,20,12,4.0
i_stationary_ou,"(i) stationary OU, uniform weights",sigmoid,mutual_information,0.007125266855427983,0.42098738783985246,0.8595527937987927,4.0,4,0.500;4.591;7.045;9.500,0;0;0;0,1;1;1;1,0.0005187499991734512,42,12,4.0
i_stationary_ou,"(i) stationary OU, uniform weights",sigmoid,imse,0.008280968856369099,0.48927058008644897,0.9989702926607525,4.0,4,2.136;4.591;6.227;7.864,0;0;0;0,1;1;1;1,0.0004175830035819672,42,12,4.0
i_stationary_ou,"(i) stationary OU, uniform weights",sigmoid,linear_target,0.008289504620115155,0.4897749049006042,0.9999999999999998,4.0,4,2.136;3.773;6.227;7.864,0;0;0;0,1;1;1;1,0.0054679169988958165,123,12,4.0
i_stationary_ou,"(i) stationary OU, uniform weights",sigmoid,kernel_quadrature,0.008280968856369099,0.48927058008644897,0.9989702926607525,4.0,4,2.136;4.591;6.227;7.864,0;0;0;0,1;1;1;1,0.0005939170005149208,42,12,4.0
i_stationary_ou,"(i) stationary OU, uniform weights",sigmoid,label_aware_greedy,0.008257027031979792,0.48785600764807124,0.9960820833543472,4.0,4,2.136;4.591;7.045;8.682,0;0;0;0,1;1;1;1,0.02408974999707425,42,12,4.0
i_stationary_ou,"(i) stationary OU, uniform weights",sigmoid,label_aware,0.008289504620115155,0.4897749049006042,0.9999999999999998,4.0,4,2.136;3.773;6.227;7.864,0;0;0;0,1;1;1;1,0.06691004199819872,123,12,4.0
i_stationary_ou,"(i) stationary OU, uniform weights",sigmoid,exhaustive,0.008289504620115157,0.4897749049006043,1.0,4.0,4,2.136;3.773;6.227;7.864,0;0;0;0,1;1;1;1,0.2568307499968796,495,12,4.0
i_stationary_matern32,"(i) stationary Matern-3/2, uniform weights",mean,same_time,0.03634385473282839,0.19644227812447157,0.3635709914652377,4.0,1,5.000,0,4,0.0,1,12,4.0
i_stationary_matern32,"(i) stationary Matern-3/2, uniform weights",mean,uniform,0.07142256674517045,0.3860463295393135,0.71448594529733,4.0,4,0.039;3.346;6.654;9.961,0;0;0;0,1;1;1;1,0.0,1,12,4.0
i_stationary_matern32,"(i) stationary Matern-3/2, uniform weights",mean,dispersed,0.09959849312252578,0.5383401136335887,0.9963478876744424,4.0,4,1.250;3.750;6.250;8.750,0;0;0;0,1;1;1;1,0.0,1,12,4.0
