repeat,fold,label_model,method,n_windows,width_minutes,total_minutes,n_train,n_test,ceiling_train,ceiling_test
0,1,indicator_linear,uniform,2,15.0,30.0,67,17,0.916542125390353,0.8671572817027006
0,1,indicator_linear,random,2,15.0,30.0,67,17,0.9516232475689997,0.9407711896470881
0,1,indicator_linear,label_aware,2,15.0,30.0,67,17,0.9679296017929493,0.9202319830351753
0,1,indicator_linear,mutual_information,2,15.0,30.0,67,17,0.8578132150294433,0.8776544327339548
0,1,indicator_linear,imse,2,15.0,30.0,67,17,0.9632371060096876,0.9318924005929704
0,1,indicator_linear,kernel_quadrature,2,15.0,30.0,67,17,0.9632371060096876,0.9318924005929704
0,1,indicator_linear,contiguous,4,15.0,60.0,67,17,0.7441234702738291,0.9717494802029972
0,1,indicator_linear,dispersed,4,15.0,60.0,67,17,0.9876700619930318,0.9936608209060337
0,1,indicator_linear,uniform,4,15.0,60.0,67,17,0.9743363276794862,0.9782531664250822
0,1,indicator_linear,random,4,15.0,60.0,67,17,0.9848014034203407,0.9840153214727301
0,1,indicator_linear,label_aware,4,15.0,60.0,67,17,0.9923149981068942,0.968887112420628
0,1,indicator_linear,mutual_information,4,15.0,60.0,67,17,0.9683533062893152,0.9584489714258801
0,1,indicator_linear,imse,4,15.0,60.0,67,17,0.9846035947577636,0.9749606028008031
0,1,indicator_linear,kernel_quadrature,4,15.0,60.0,67,17,0.9914484787602471,0.9835648679477422
0,1,indicator_linear,contiguous,8,15.0,120.0,67,17,0.8210957330131875,0.9717494802031478
0,1,indicator_linear,dispersed,8,15.0,120.0,67,17,0.9962323663043695,0.999548585976668
0,1,indicator_linear,uniform,8,15.0,120.0,67,17,0.9938430795813332,0.997372237147241
0,1,indicator_linear,random,8,15.0,120.0,67,17,0.9957828073191141,0.9978394432553396
0,1,indicator_linear,label_aware,8,15.0,120.0,67,17,0.9983526558116229,0.9966641002986844
0,1,indicator_linear,mutual_information,8,15.0,120.0,67,17,0.9899928005346708,0.9851752499914596
0,1,indicator_linear,imse,8,15.0,120.0,67,17,0.9981255713431316,0.9959871192335906
0,1,indicator_linear,kernel_quadrature,8,15.0,120.0,67,17,0.9983799252377709,0.9959871192335922
0,1,indicator_linear,contiguous,16,15.0,240.0,67,17,0.9216844899556842,0.9888567051293568
0,1,indicator_linear,dispersed,16,15.0,240.0,67,17,0.9993284211242088,1.0
0,1,indicator_linear,uniform,16,15.0,240.0,67,17,0.9992188052597701,1.0
0,1,indicator_linear,random,16,15.0,240.0,67,17,0.9992201068264952,1.0
0,1,indicator_linear,label_aware,16,15.0,240.0,67,17,0.9997405153976437,0.9999999999660486
0,1,indicator_linear,mutual_information,16,15.0,240.0,67,17,0.9989822816078074,0.9999999972548748
0,1,indicator_linear,imse,16,15.0,240.0,67,17,0.9996755839702769,0.9999999972547566
0,1,indicator_linear,kernel_quadrature,16,15.0,240.0,67,17,0.9997383319631526,0.9999999972548783
0,1,indicator_linear,contiguous,32,15.0,480.0,67,17,0.9913014855253335,0.9917073798015543
0,1,indicator_linear,dispersed,32,15.0,480.0,67,17,0.9999874979903501,0.999999998452666
0,1,indicator_linear,uniform,32,15.0,480.0,67,17,0.9998856255310292,0.9999999995037359
0,1,indicator_linear,random,32,15.0,480.0,67,17,0.9999696287088509,0.9999999999280021
0,1,indicator_linear,label_aware,32,15.0,480.0,67,17,0.9999805786308134,0.999999999959377
0,1,indicator_linear,mutual_information,32,15.0,480.0,67,17,0.9999818196988596,0.999999999985234
0,1,indicator_linear,imse,32,15.0,480.0,67,17,0.999976307579492,0.9999999999574658
0,1,indicator_linear,kernel_quadrature,32,15.0,480.0,67,17,0.9999901700591945,0.9999999999834666
0,2,indicator_linear,contiguous,1,15.0,15.0,67,17,0.7279515827509917,0.7021354552000391
0,2,indicator_linear,dispersed,1,15.0,15.0,67,17,0.7279515827509917,0.7021354552000391
0,2,indicator_linear,uniform,1,15.0,15.0,67,17,0.6816658323589491,0.5534000039939205
0,2,indicator_linear,random,1,15.0,15.0,67,17,0.8591958174512511,0.6991562386103344
0,2,indicator_linear,label_aware,1,15.0,15.0,67,17,0.8591617254816576,0.9619877427666519
0,2,indicator_linear,mutual_information,1,15.0,15.0,67,17,0.6816658323589491,0.5534000039939205
0,2,indicator_linear,imse,1,15.0,15.0,67,17,0.8591617254816576,0.9619877427666519
0,2,indicator_linear,kernel_quadrature,1,15.0,15.0,67,17,0.8591617254816576,0.9619877427666519
0,2,indicator_linear,contiguous,2,15.0,30.0,67,17,0.7432033648723663,0.704959390934499
0,2,indicator_linear,dispersed,2,15.0,30.0,67,17,0.9226478835799566,0.9843792919747606
0,2,indicator_linear,uniform,2,15.0,30.0,67,17,0.896616232564042,0.9632602885121899
0,2,indicator_linear,random,2,15.0,30.0,67,17,0.9447100635643442,0.9641161612762313
0,2,indicator_linear,label_aware,2,15.0,30.0,67,17,0.9537779909096312,0.9855498500761409
0,2,indicator_linear,mutual_information,2,15.0,30.0,67,17,0.8742967105093126,0.9636357122531124
0,2,indicator_linear,imse,2,15.0,30.0,67,17,0.9479411704482805,0.9774483367936537
0,2,indicator_linear,kernel_quadrature,2,15.0,30.0,67,17,0.9537779909096312,0.9855498500761409
0,2,indicator_linear,contiguous,4,15.0,60.0,67,17,0.761077146961885,0.8921595331521752
0,2,indicator_linear,dispersed,4,15.0,60.0,67,17,0.9878424018268073,0.984882920197641
0,2,indicator_linear,uniform,4,15.0,60.0,67,17,0.9689348212976299,0.9901310399042714
0,2,indicator_linear,random,4,15.0,60.0,67,17,0.9771716234015828,0.9656034146126827
0,2,indicator_linear,label_aware,4,15.0,60.0,67,17,0.9902244185330284,0.9937056038411387
0,2,indicator_linear,mutual_information,4,15.0,60.0,67,17,0.9813653693468124,0.9961968569268559
0,2,indicator_linear,imse,4,15.0,60.0,67,17,0.9874692575794677,0.9862311773886275
0,2,indicator_linear,kernel_quadrature,4,15.0,60.0,67,17,0.9893925162145482,0.9936481093040891
0,2,indicator_linear,contiguous,8,15.0,120.0,67,17,0.816481502706678,0.8948135779461537
0,2,indicator_linear,dispersed,8,15.0,120.0,67,17,0.9959609027106487,0.9995877938431685
0,2,indicator_linear,uniform,8,15.0,120.0,67,17,0.9932193722915913,0.9921987261206501
0,2,indicator_linear,random,8,15.0,120.0,67,17,0.994566645106585,0.9998502809922805
0,2,indicator_linear,label_aware,8,15.0,120.0,67,17,0.9976333841037476,0.9985916978208643
