N,same_continuous,same_discrete,same_mc,same_mc_ci95,dispersed_continuous,dispersed_discrete,dispersed_mc,dispersed_mc_ci95
1,0.04841541587373777,0.04832213929165935,0.04854626570226852,0.0007047971718181525,0.04841541587373777,0.04832213929165935,0.04890634465314503,0.0007610664882604982
2,0.06481660075450627,0.06469242671292279,0.06491189278825724,0.0009535232505664957,0.09618911213581649,0.09600380255856915,0.09615187530633808,0.001135988425251121
4,0.07812626387775047,0.07797775545248403,0.07822193228689128,0.0009571142655921375,0.18493122875994564,0.18457509677684417,0.1856537397290739,0.0013632030390281606
8,0.08713197536152306,0.08696783190663442,0.08692324096353705,0.0010508162289207992,0.33317443497661714,0.33253386551871544,0.33099281346274256,0.0014309097827820765
16,0.09249619722161305,0.09232351419258394,0.09227185778273062,0.001068202065625749,0.5193654906465597,0.5183704924647982,0.5183736906204068,0.0015144262469107763
32,0.09544866225460209,0.0952719288868954,0.09523503018185135,0.001098652436658872,0.6872702480794046,0.6859624350500718,0.6855129266424516,0.0009476858591754874
64,0.09700202991049398,0.09682369124539777,0.09675533262760967,0.001068759554537251,0.8083596205841647,0.8068404141154712,0.8065567284272845,0.0007507401484781345
